ingredient,quantite_g,prix_kg,Coût (€),plat
sauce tomate,55.0,2.63,0.14465,Calzone S modifié
Mozzarella,55.0,5.85,0.32175,Calzone S modifié
Thon,30.0,5.35,0.1605,Calzone S modifié
Œuf,50.0,3.48,0.174,Calzone S modifié
Pdt,63.333333333333336,1.2,0.076,Calzone S modifié
Crème,45.0,3.75,0.16875,Savoyarde S modifié
Mozzarella,90.0,5.85,0.5265,Savoyarde S modifié
Jambon de parme,45.0,15.9,0.7155,Savoyarde S modifié
Oignon,33.0,0.6,0.0198,Savoyarde S modifié
Pdt,70.0,1.2,0.084,Savoyarde S modifié
sauce tomate,55.0,2.63,0.14465,Calzone S tunisienne
Mozzarella,55.0,5.85,0.32175,Calzone S tunisienne
Thon,30.0,5.35,0.1605,Calzone S tunisienne
Œuf,50.0,3.48,0.174,Calzone S tunisienne
Pdt,63.333333333333336,1.2,0.076,Calzone S tunisienne
